name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
Systolic heart failure (dsyn),3.65e-20,6.46,38,603,31,40.39
Myocarditis (dsyn),1.43e-17,1.13,8,590,1,8.11
Codeine (phsu),5.36e-08,0.19,1,31,0,1.03
Nerve Degeneration (comd),2.11e-29,0.3,16,224,0,17.14
Erythromycin (antb),7.39e-29,0.17,7,102,0,7.48
Ventricular Fibrillation (dsyn),3.8e-13,1.36,18,892,10,18.36
Amitriptyline (phsu),6.73e-10,0.18,12,27,0,17.33
Eating (orgf),2.03e-107,2.97,1018,219,26,266.11
ERBB2|NEU1|NEURL1 (gngm),6.18e-09,0.9,3,222,1,3.04
Guanosine Triphosphate Phosphohydrolases (aapp),6.92e-14,0.11,4,24,0,4.67
Mammalian Oviducts (bpoc),3.08e-29,0.24,14,165,2,15.19
Anovulation (dsyn),1.46e-16,4.31,111,5,0,5.23
"Puberty, Precocious (dsyn)",6.32e-26,2.51,136,21,1,24.24
Entire diaphragm (bpoc),4.54e-21,0.39,31,268,1,34.59
Globin (gngm),6.41e-15,0.04,1,9,0,1.11
Interferon-beta|EREG|ESR1 (aapp),1.61e-06,29.67,5,12,0,7.08
membrane fraction (celc),3.62e-26,0.04,1,16,0,1.06
Trachea (bpoc),6.41e-16,0.43,25,685,2,25.91
Urothelium (tisu),5.28e-14,1.05,11,517,2,11.23
Increased systolic arterial pressure (fndg),1.34e-11,13.25,26,27,3,51.04
TNFRSF5 gene|CD40 (gngm),1.84e-21,0.23,13,115,0,14.47
"Defibrillators, Implantable (medd)",3.86e-25,1.76,22,1957,15,22.25
Hypoxia (patf),2.79e-16,0.68,192,1147,16,224.14
Systemic arterial pressure (fndg),8.15e-97,3.71,3006,3177,264,5850.2
Nutrition management (hlca),2.48e-22,5.12,49,100,7,73.01
EGR1 gene|EGR1 (gngm),2.38e-06,0.19,1,24,0,1.04
SODIUM BUTYRATE (lipd),4.63e-11,0.09,1,19,0,1.05
Enterocytes (cell),4.66e-16,0.23,10,84,1,11.19
Papaverine (phsu),3.23e-09,0.12,1,21,0,1.05
IMAGE QUALITY (fndg),5.33e-26,1.95,97,13,1,14.74
Tissue damage (inpo),4.85e-10,0.85,12,349,3,12.41
Disintegration (acab),3.19e-10,0.29,24,77,0,31.48
Cytomegalovirus Retinitis (dsyn),1.9e-07,0.28,1,56,0,1.02
Insecta (invt),1.01e-11,0.7,1,509,0,1.0
Ketoprofen (phsu),1.6e-09,0.08,1,13,0,1.08
Epinephrine (horm),3.7e-38,0.36,97,470,5,117.02
interstitial cell (cell),5.75e-12,0.16,1,39,0,1.03
Endopeptidases (aapp),1e-92,0.15,13,270,1,13.63
Spontaneous abortion (dsyn),1.68e-06,1.12,128,218,4,203.16
Glioblastoma (neop),3.82e-100,1.14,7,2524,1,7.02
Hepatic (blor),4.24e-10,1.01,281,2309,14,315.2
Carbon Dioxide (bacs),3.62e-29,0.33,48,286,2,56.06
Cytosine (bacs),6.91e-09,0.13,3,18,0,3.5
Fibroblast Growth Factor Receptors (aapp),1.64e-07,0.26,4,44,0,4.36
Malignant neoplasm of skin (neop),1.72e-08,1.08,19,454,1,19.8
Archaea (arch),1.32e-26,0.06,9,11,0,16.36
Satiation (menp),3.98e-10,4.03,83,6,3,6.43
Ibuprofen (phsu),3.72e-22,0.25,13,130,0,14.3
Lizards (rept),2.26e-11,0.18,3,40,0,3.23
hypercholesterolemia (dsyn),1.9e-09,2.75,487,637,50,859.32
Polyethylene Glycols (phsu),6.53e-14,0.19,9,53,0,10.53
hydroxyurea (orch),1.44e-16,0.35,8,260,0,8.25
Sambucus (plnt),7.99e-11,4.05,55,89,9,88.99
glycosylation (npop),7.56e-11,0.25,5,63,0,5.4
Dental crowns (medd),3.68e-06,0.12,3,10,0,3.9
amidronate (orch),2.81e-11,0.23,8,54,2,9.19
Ovum (cell),8.82e-26,0.34,29,254,1,32.31
Esophagus (bpoc),1.24e-18,1.15,100,1939,27,105.16
Infarction (patf),1.97e-43,0.83,38,1579,15,38.91
Glutathione S-Transferase (aapp),2.27e-23,0.26,19,150,1,21.41
Aortic Valve Insufficiency (dsyn),4.55e-08,1.58,20,766,5,20.52
Palliative Care (hlca),1.26e-08,2.4,6,876,6,6.04
Speech (orgf),5.16e-19,0.16,9,55,0,10.47
Respiratory physiology (ortf),9.08e-71,3.56,377,706,56,578.32
Rheumatoid Factor (aapp),1.5e-06,0.29,15,44,0,20.11
Relaxin (aapp),6.56e-11,0.16,6,30,1,7.2
Inactivation (comd),6.17e-58,0.26,20,358,1,21.12
Cholesterol levels raised (fndg),3.15e-18,7.69,144,111,22,196.56
Vertigo (sosy),9.79e-09,0.22,9,38,0,11.13
Rheumatism (dsyn),1.21e-11,0.56,53,431,5,59.52
Reproductive History (fndg),7.03e-09,6.89,58,53,6,101.43
"Alcoholic Intoxication, Chronic (mobd)",1.25e-10,0.53,59,320,5,69.88
Measles (dsyn),2.45e-15,0.81,3,384,0,3.02
High Density Lipoprotein Cholesterol (bacs),1.77e-10,8.16,1760,566,126,748.02
[X]Unspecified osteoporosis with pathological fracture (dsyn),1.41e-23,3.11,201,356,20,314.49
Renal Tissue (tisu),1.14e-10,0.38,9,171,0,9.47
Brush Border (celc),1.61e-13,0.1,2,24,0,2.17
Hypercapnia (sosy),3.39e-12,2.3,62,185,16,82.78
"Energy, Physics (npop)",4.43e-29,0.98,499,267,27,409.86
Seeds (plnt),6.89e-42,0.17,9,152,0,9.53
olanzapine (phsu),4.79e-42,1.83,268,116,13,166.21
Anergy (celf),1.14e-09,0.19,1,38,0,1.03
Valproic Acid (phsu),4.19e-06,0.42,46,118,0,63.93
alpha-Synuclein (aapp),1.23e-23,0.09,3,35,0,3.26
Polymerase (aapp),2.06e-12,0.24,1,65,0,1.02
"NOS1 protein, human|NOS1 (aapp)",4.5e-06,0.12,2,12,0,2.33
Mannose (bacs),8.22e-14,0.07,1,16,0,1.06
Column (bpoc),8.67e-123,0.07,15,146,1,16.54
Tissue specimen (tisu),4.88e-30,1.11,22,1164,4,22.42
Felis catus (mamm),2.78e-245,0.15,17,724,1,17.4
Sarcoplasmic Reticulum (celc),1.78e-39,0.07,2,52,0,2.08
Neurologic Deficits (fndg),2.89e-08,1.8,26,960,2,26.7
Secondary malignant neoplasm of bone (neop),3.7e-27,1.07,11,932,7,11.13
Seminal Vesicles (bpoc),1.03e-15,0.13,3,40,0,3.23
"Adolescents, Female (humn)",9.79e-27,6.73,700,76,6,84.25
"Translation, Genetic (genf)",3e-63,0.21,27,291,0,29.51
"Myocytes, Cardiac (cell)",5.57e-58,0.33,24,755,2,24.76
Pentetic Acid (orch),4.49e-06,0.2,7,21,0,9.33
Perinatal (tmco),5.48e-08,5.34,17,138,6,19.09
Cervical Squamous Cell Carcinoma (neop),8.61e-13,1.82,6,797,4,6.05
Prolactin (aapp),8.12e-07,0.35,83,58,1,98.53
Wing (bpoc),1.6e-21,0.21,2,92,2,2.04
Power tool (mnob),2.74e-07,0.26,3,41,0,3.22
Binge Eating (mobd),5.14e-33,7.26,539,26,6,27.25
Neuropeptides (aapp),3.35e-14,0.3,65,102,1,106.42
Saphenous Vein (bpoc),3.51e-06,0.31,12,49,0,14.94
Light (npop),1.03e-15,0.1,3,28,0,3.32
Visual Cortex (bpoc),4.22e-35,0.02,3,5,0,4.8
Analyte (chvf),2.86e-06,0.19,9,14,1,14.79
Methicillin resistant Staphylococcus aureus (organism) (bact),7.31e-08,1.35,1,237,0,1.0
Score (qnco),1.89e-08,3.04,29,92,2,38.14
Primates (mamm),5.2e-49,0.23,41,260,1,47.47
TRYPTASE (aapp),2.56e-08,0.25,6,45,0,6.8
Actins (aapp),5.49e-80,0.15,9,243,0,9.33
Luciferases (aapp),6.84e-22,0.35,13,244,1,13.69
Ovulatory (fndg),2.66e-17,4.22,112,4,1,4.14
Degenerative abnormality (patf),8.52e-31,0.45,102,610,5,119.06
Methylnitrosourea (orch),8.2e-07,0.1,1,11,0,1.09
Renal tubular disorder (dsyn),2.35e-37,0.21,15,172,1,16.31
preadolescent (aggp),1.24e-08,3.89,99,17,0,19.92
Post transplant diabetes mellitus (dsyn),1.75e-10,7.74,37,37,15,74.0
"Metals, Heavy (elii)",1.04e-08,0.37,26,110,1,32.15
Postherpetic neuralgia (dsyn),1.28e-08,0.13,1,21,0,1.05
Local excision (topp),3.27e-10,1.77,3,505,1,3.02
Hepatocyte Growth Factor (gngm),1.1e-23,0.3,20,182,5,22.2
Saccharomyces cerevisiae (fngs),0.0,0.05,4,290,0,4.06
Empirical therapy (topp),1.75e-07,2.72,4,701,2,4.02
Aerosols (chvs),6.36e-07,0.23,1,33,0,1.03
"DNA, Single-Stranded (bacs)",3.93e-12,0.05,2,6,0,2.67
Periodontal Ligament (bpoc),5.56e-30,0.05,6,11,0,9.27
Anaplastic astrocytoma (neop),5.13e-08,1.39,1,248,0,1.0
primary group (humn),4.54e-13,3.59,41,155,4,51.85
Low-Density Lipoproteins (aapp),7.14e-30,1.12,361,239,24,397.23
Malnutrition (dsyn),0.0,5.64,1612,2210,451,2787.81
Submandibular gland (bpoc),8.5e-32,0.11,5,65,0,5.38
Lipid-lowering therapy (topp),2.32e-06,3.27,27,193,6,30.78
Peptides (aapp),3.57e-85,0.21,100,356,6,128.09
infliximab (aapp),1.03e-13,0.42,82,271,5,106.81
NEW ONSET (fndg),8.83e-15,4.96,33,97,1,44.23
"MMP14 protein, human|MMP14 (aapp)",2.58e-08,0.2,1,34,0,1.03
FRAGMENTS (bdsu),4.27e-35,0.22,31,163,3,36.9
glial cell-line derived neurotrophic factor|GDNF (aapp),2.62e-12,0.07,2,11,0,2.36
Metronidazole (orch),6.4e-19,0.35,11,185,2,11.65
Cardiac Glycosides (phsu),5.13e-09,0.3,5,64,0,5.39
Magnetic field (npop),1.05e-11,0.11,2,23,0,2.17
"Respiratory Distress Syndrome, Adult (dsyn)",7.2e-14,2.31,22,2530,41,22.19
KCNK3 (gngm),5.3e-09,0.13,9,8,0,15.11
Freezing (npop),2.55e-08,0.13,1,20,0,1.05
Incisional hernia (inpo),9.92e-22,8.37,113,101,15,191.27
Lactose (bacs),9.28e-07,0.2,10,19,0,15.26
"Dislocation, complete (inpo)",2.67e-06,0.14,3,14,0,3.64
Frail (fndg),1.91e-38,7.65,54,461,32,60.33
Abscess (patf),4.62e-14,0.99,44,864,9,46.24
cytotoxicity (comd),5.45e-88,0.21,11,389,0,11.31
hepatic lipase (aapp),1.1e-08,1.67,35,4,1,4.46
Intraocular melanoma (neop),2.27e-13,1.15,2,360,0,2.01
Analgesic effect (fndg),2.71e-08,0.04,1,3,0,1.33
Entire vestibule (bpoc),1.8e-14,0.1,4,23,0,4.7
U937 Cells (cell),7.83e-14,0.05,1,12,0,1.08
Herbicides (hops),2.24e-06,0.4,6,189,0,6.19
Chinese Hamster Ovary Cell (cell),9.2e-32,0.1,17,36,0,25.03
Immune response (orgf),1.58e-16,0.74,124,2377,11,130.47
Walking distance (fndg),2.99e-13,3.9,38,83,3,55.4
Tertiary referral hospital (hcro),4.89e-76,5.85,181,956,20,215.27
"Tachycardia, Ventricular (patf)",1.8e-24,0.98,16,825,5,16.31
Glutathione S-Transferase|SLCO6A1|GSTK1 (aapp),1.42e-06,0.32,8,54,1,9.19
Aspartate (aapp),2.7e-16,0.14,8,37,1,9.73
CYTOCHROME C OXIDASE (aapp),1.75e-18,0.14,7,44,0,8.11
Iodides (inch),2.18e-11,0.08,2,15,0,2.27
Entire coronary sinus (bpoc),2.68e-09,0.24,5,50,0,5.5
Urokinase (phsu),1.36e-33,0.26,2,242,1,2.02
Acanthosis Nigricans (dsyn),4.65e-07,6.21,114,9,2,9.71
Serum prealbumin (fndg),2.69e-06,8.69,7,13,3,10.77
anticoagulation (topp),9.31e-07,2.05,54,1759,14,55.66
Molar tooth (bpoc),2.78e-27,0.06,6,18,0,8.0
High density lipoprotein decreased (fndg),1.05e-08,10.42,65,39,8,62.4
Nerve Endings (celc),7.88e-10,0.05,1,7,0,1.14
Acute diarrhea (dsyn),3.87e-07,0.77,1,198,0,1.01
Cytochromes b (aapp),6.2e-07,0.09,1,11,0,1.09
Tumor Necrosis Factor Ligand Superfamily Member 6|FASLG (gngm),1.07e-07,0.29,3,51,0,3.18
Prostatectomy (topp),2.53e-15,2.67,66,175,1,90.89
Granulocyte-Macrophage Colony-Stimulating Factor (aapp),6.87e-39,0.22,6,186,1,6.19
pectin (carb),1.67e-06,0.08,2,6,0,2.67
Heparitin Sulfate (bacs),8.52e-19,0.13,4,47,0,4.34
Interstitial Collagenase (aapp),9.99e-09,0.31,14,71,0,16.76
Glycoside Hydrolases (aapp),3.58e-06,0.15,6,11,0,9.27
Adjustment Action (hlca),9.19e-37,5.93,103,165,23,167.3
Proto-Oncogene Protein pp60 (c-src)|SRC (aapp),3.34e-40,0.14,1,112,0,1.01
TRPV1 (gngm),1.41e-09,0.1,2,15,0,2.27
Hela Cells (cell),1.46e-52,0.06,1,59,0,1.02
Subgroup (clas),3.15e-20,5.06,49,216,5,60.12
[D]Musculoskeletal pain (sosy),4.95e-22,2.12,96,18,0,21.38
Vascular Diseases (dsyn),5.94e-30,2.05,285,1433,59,341.68
Liquid substance (sbst),4.67e-09,0.43,13,124,0,14.36
"hypothermia, natural (sosy)",9.93e-08,1.47,22,718,5,22.67
DNA Damage (comd),3.63e-15,0.43,73,292,0,91.25
Streptokinase (aapp),9.32e-11,0.32,1,187,0,1.01
Somatropin (aapp),8.64e-07,0.24,23,22,0,43.04
Methamphetamine (phsu),3.52e-20,0.19,13,79,0,15.14
Brain-Derived Neurotrophic Factor|BDNF (aapp),4e-07,0.17,7,16,0,10.06
Mycoses (dsyn),2.73e-42,1.96,7,2137,3,7.02
Melanins (bacs),4.05e-22,0.11,4,42,0,4.38
Autoantibodies (aapp),9.98e-31,0.41,115,524,1,140.24
Placenta (emst),1.01e-27,0.37,111,389,2,142.67
Malignant Bone Neoplasm (neop),2.32e-06,0.97,1,138,0,1.01
Equus caballus (mamm),1.23e-144,0.2,6,587,1,6.06
patient characteristics (clna),3.23e-47,7.09,74,299,18,92.31
Electricity (npop),1.59e-16,0.22,5,79,0,5.32
CD4 Positive T Lymphocytes (cell),7.57e-14,0.29,7,99,0,7.49
Astrocytoma (neop),1.2e-07,0.69,2,375,0,2.01
fluorophore (phsu),4.5e-07,0.06,1,5,0,1.2
Mammary gland (bpoc),2.41e-49,0.14,10,136,1,10.74
Ivermectin (phsu),1.94e-08,0.32,1,106,1,1.01
Excretory function (phsf),1.27e-14,0.89,492,489,44,975.02
Osteocalcin (aapp),1.04e-51,1.54,276,42,3,48.39
Recombinant Growth Hormone|HSD3B1 (aapp),1.43e-54,663.62,47,35,5,61.06
Bile Salts (bacs),1.34e-09,0.13,3,22,0,3.41
Follow-Up Studies (resa),2.49e-55,4.72,113,283,18,158.12
Dyspareunia (fndg),2.06e-06,1.93,24,5,0,6.04
Prader-Willi Syndrome (cgab),1.46e-10,3.79,208,50,10,62.02
Menopausal hot flushes (sosy),8.19e-13,1.77,59,20,2,26.78
Cornea (bpoc),1.02e-73,0.08,28,64,0,40.25
"Diabetes, Gestational (dsyn)",1.94e-29,6.01,1415,255,33,300.95
Phosphorylcholine (opco),1.54e-07,0.15,2,20,0,2.2
Depressive disorder (mobd),5.41e-16,0.98,920,1893,44,1367.12
Sex Characteristics (orga),3.03e-141,5.39,384,690,41,597.7
Sulpiride (phsu),9.75e-09,0.08,5,1,0,1.2
Consumption-archaic term for TB (dsyn),5.51e-33,2.47,1966,1443,93,2502.13
Proinsulin (aapp),1.4e-19,1.59,94,16,4,18.72
Statistical Analysis (resa),1.04e-64,3.18,252,593,18,359.09
Brain natriuretic peptide|XK (phsu),1.06e-115,1969.28,39,399,18,42.81
Living Donors (popg),1.19e-50,4.42,116,383,22,151.13
Ofloxacin (antb),6.51e-13,0.12,2,28,0,2.14
Breast Cancer Cell (cell),1.96e-09,0.4,8,410,0,8.16
reproductive hormone (horm),2.08e-06,3.17,42,6,0,6.86
Follicle Stimulating Hormone (aapp),1.81e-28,1.29,197,16,1,17.3
Nicotiana (plnt),2.76e-13,0.13,3,33,0,3.27
Connexin 43 (aapp),2.72e-21,0.15,1,62,0,1.02
Lipopolysaccharides (lipd),7.95e-156,0.34,88,1719,3,92.5
Lymph Node Dissection (topp),6.44e-08,3.59,76,1078,18,81.36
Entire eyelid (bpoc),8.97e-08,0.34,3,116,0,3.08
Entire hair follicle (bpoc),5.29e-07,0.12,3,11,0,3.82
zeaxanthin (orch),6.05e-07,1.46,35,10,1,12.86
Nephrons (bpoc),4e-09,0.25,8,51,0,9.25
Biogenic Amines (horm),1.13e-11,0.06,1,11,0,1.09
Nose (bpoc),2.7e-23,0.48,173,671,2,217.6
Amyloid beta-Protein (aapp),1.75e-06,0.07,1,6,0,1.17
AIDS patient (humn),5.45e-07,0.95,23,402,4,24.32
CD59 (gngm),5.81e-07,0.17,1,23,0,1.04
Apigenin (orch),9.87e-08,0.13,3,15,0,3.6
Acupuncture procedure (topp),1.07e-06,0.37,85,77,2,146.75
Heart Atrium (bpoc),1.1e-09,0.54,44,488,5,47.97
Consultation (hlca),8.57e-11,1.96,97,381,8,121.7
Protoplasm (celc),1.18e-223,0.21,153,1054,8,175.21
"Hepatitis, Chronic Active (dsyn)",8.96e-08,0.15,6,16,0,8.25
High Schools (orgt),1.44e-07,2.96,60,12,1,14.4
Nucleic Acids (bacs),7.31e-35,0.16,4,114,0,4.14
Gentamicins (antb),2.95e-37,0.28,9,266,1,9.3
Lung Neoplasms (neop),4.97e-15,0.86,6,359,0,6.1
Hypoxic-Ischemic Encephalopathy (dsyn),1.17e-08,1.6,3,395,1,3.02
Lepidoptera (invt),1.05e-07,1.46,1,254,0,1.0
Taste Perception (ortf),1.11e-07,1.74,29,3,0,3.31
Albumins (aapp),1.25e-29,1.93,314,951,92,417.68
coumarin (orch),1.42e-08,0.19,2,33,0,2.12
protrusion (anab),1.08e-06,0.46,45,155,0,58.06
Physostigmine (orch),2.78e-08,0.1,3,10,0,3.9
Therapeutic agent (substance) (phsu),6.54e-07,0.71,8,414,0,8.15
25-hydroxyvitamin D (strd),3.49e-12,9.68,330,142,16,203.1
Cochlear implant procedure (topp),6.65e-11,0.05,1,9,0,1.11
"Serum Albumin, Bovine (aapp)",5.15e-37,0.05,3,27,1,3.33
Phytohemagglutinins (aapp),2.96e-16,0.12,10,26,0,13.85
"Etiology, operative procedure, as cause of (fndg)",6.49e-42,7.54,62,429,28,70.96
Glutathione (aapp),9.04e-52,0.25,66,311,3,80.01
Villus (bpoc),2.06e-09,0.26,9,58,0,10.4
"Anti-Inflammatory Agents, Non-Steroidal (phsu)",3.96e-16,0.57,143,707,9,171.92
Radical nephrectomy (topp),5.69e-11,3.84,50,506,15,54.94
Endocrine cell (cell),1.42e-06,0.21,9,22,0,12.68
Employee (prog),1.01e-16,2.35,296,160,15,246.49
Cataplexy (dsyn),1.41e-07,1.51,35,3,0,3.26
Mixed Salivary Gland Tumor (neop),1.11e-13,0.17,1,46,0,1.02
Australia (geoa),6.59e-10,3.44,43,231,2,51.0
human leukocyte interferon|IFNA1 (aapp),1.37e-44,0.31,20,346,0,21.16
LAMC2 (gngm),1.37e-26,0.26,9,157,0,9.52
Regular exercise (dora),7.09e-10,9.23,120,69,8,108.67
Spasm (sosy),2.62e-12,0.32,7,98,0,7.5
Cytochrome P450 (aapp),1.35e-67,0.13,23,153,2,26.46
Heparan Sulfate Proteoglycan (aapp),2.7e-16,0.08,1,25,0,1.04
Perforators (medd),7.74e-08,1.35,52,30,2,47.31
Cerebrovascular accident (dsyn),8.61e-13,2.06,882,11185,318,951.55
Nerve Tissue (tisu),1.88e-16,0.17,1,58,0,1.02
"Melanoma, B16 (neop)",2.12e-12,0.24,1,64,0,1.02
PARITY (fndg),6.15e-21,6.52,408,280,19,472.16
Echinococcosis (dsyn),1.25e-09,0.37,2,363,0,2.01
Dermoid Cyst (neop),7.93e-07,0.28,4,43,0,4.37
Radiotherapy Research (resa),4.67e-06,2.32,42,223,6,49.91
Entire tooth (bpoc),2.88e-08,0.19,16,15,0,29.06
Unemployment (fndg),6.14e-11,2.48,68,167,8,95.69
Chemotherapy-Oncologic Procedure (topp),2.97e-13,2.27,50,2413,11,51.04
Eicosanoids (eico),5.63e-10,0.25,11,58,0,13.09
linezolid (orch),2.25e-06,0.9,9,227,1,9.36
Genus Mycobacterium (bact),6.3e-11,0.32,4,119,0,4.13
regulatory (rnlw),5.46e-17,0.3,14,134,1,15.46
Mesenchymal cell (cell),1.18e-10,0.18,2,39,0,2.1
Encounter due to stillbirth (fndg),1.55e-31,7.28,46,211,15,56.03
Databases (inpr),4.02e-08,3.2,90,1176,22,96.89
Ketamine (phsu),1.83e-32,0.21,14,151,0,15.3
DIO3 (aapp),2.32e-06,0.1,1,11,0,1.09
Heat-Shock Proteins 70|HSPA4 (aapp),1.74e-28,0.25,12,161,1,12.89
Maltose (bacs),2.47e-06,0.05,1,3,0,1.33
COGNITIVE DEFICIT (mobd),1.25e-06,0.42,30,110,1,38.18
"Osteoarthritis, Hip (dsyn)",2.77e-18,3.27,141,19,3,21.56
Vulnerable Populations (popg),1.91e-14,4.42,44,282,8,50.87
Phosphatidylserines (lipd),1e-21,0.1,8,32,0,10.0
Acute Lung Injury (inpo),7.36e-11,2.23,7,1113,11,7.04
"Red blood cells, blood product (phsu)",7.33e-07,0.24,7,36,0,8.36
Fitness (dora),1.34e-34,11.66,607,227,85,311.89
Hospitalization (hlca),1.12e-44,4.83,293,6628,165,305.95
Angioneurotic Edema (patf),2.81e-06,0.35,5,55,0,5.45
Staining method (lbpr),3.14e-07,0.35,3,115,0,3.08
MATCHING (resa),1.07e-31,4.28,95,515,17,112.52
Reflux (patf),1.12e-15,1.08,222,178,9,320.72
Endothelium (tisu),8.82e-42,0.34,35,388,1,38.16
Adenocarcinoma (neop),7.42e-83,1.23,145,5297,46,148.97
Bacteremia (dsyn),7.84e-56,1.83,10,2877,10,10.03
Endocarditis (dsyn),4.14e-34,1.29,3,1072,3,3.01
Malignant neoplasm of urinary bladder (neop),7.67e-11,1.39,83,1781,24,86.87
Recombinants (orgm),9.9e-119,0.32,80,1029,2,86.22
Dermis (tisu),1.66e-16,0.24,10,92,0,11.09
granulocyte (cell),1.06e-24,0.2,10,103,0,10.97
Newly diagnosed diabetes (fndg),2.02e-11,10.53,47,39,6,71.36
Stem Cell Factor (aapp),7.4e-17,0.12,4,38,0,4.42
Globus Pallidus (bpoc),1.04e-16,0.11,4,29,0,4.55
Adriamycin (orch),9.57e-41,0.24,2,241,0,2.02
Stem cell transplant (topp),1.02e-17,3.98,7,2385,5,7.02
Repair of umbilical hernia NOS (topp),4.28e-06,6.92,9,18,0,13.5
Metabolites (bacs),7.45e-11,0.41,80,206,3,111.07
Thromboxanes (bacs),1.37e-09,0.21,5,43,0,5.58
Anticonvulsants (phsu),1.57e-06,0.52,26,323,3,28.09
"Receptors, Progesterone (aapp)",2.1e-09,0.23,6,47,0,6.77
Shoulder (bpoc),2.69e-06,0.83,256,221,11,411.79
Surface Antigens (imft),1.47e-16,0.17,2,59,0,2.07
Captopril (aapp),1.36e-54,0.13,10,134,2,10.75
CNS (MMHCC) (tisu),5.28e-08,1.34,3,289,0,3.03
Permeability (npop),1.99e-64,0.23,12,322,1,12.45
Autoimmune Diseases (dsyn),2.14e-10,0.58,101,1070,6,110.53
Anorexia Nervosa (mobd),5.03e-19,5.66,1114,212,68,252.34
Immunoprecipitation (lbpr),2.03e-08,0.13,3,19,0,3.47
Chitosan (carb),4.75e-17,0.2,11,69,0,12.75
Vision (orgf),1.66e-35,0.24,51,194,4,64.41
Temporomandibular Joint Disorders (dsyn),1.65e-08,0.13,10,4,0,5.6
Carbon dioxide laser device (medd),4.11e-07,0.27,4,42,0,4.38
"Intestines, Small (bpoc)",3.37e-54,0.46,109,1166,10,119.19
Pathologic Neovascularization (patf),1.59e-20,0.42,40,312,1,45.13
Stratification (resa),2.39e-25,5.81,72,711,18,79.29
Animal Model (anim),3.29e-16,0.91,141,1486,11,154.38
Oils (lipd),2.96e-10,0.5,108,344,4,141.91
IgG4 (aapp),9.29e-14,0.11,3,25,0,3.36
"Dislocation, incomplete (inpo)",4.17e-11,0.18,12,31,1,16.65
Noninfiltrating Intraductal Carcinoma (neop),6.59e-07,0.91,27,399,3,28.83
Thyroxine|SLC25A5 (aapp),2.29e-46,140.23,41,41,1,82.0
Muscle Fibers (cell),2.7e-22,0.21,50,62,0,90.32
Tyrosine 3-Monooxygenase|TH (aapp),2.15e-40,0.05,3,30,0,3.3
Aneuploidy (comd),6.5e-09,0.4,11,109,0,12.11
SHBG gene|SHBG (gngm),8.27e-13,4.45,128,10,4,10.78
Bacteriophages (virs),2.35e-47,0.12,2,109,0,2.04
Calcium-Binding Proteins (aapp),1.29e-12,0.08,2,17,0,2.24
Insulin|HSD3B1 (horm),2.6e-24,1587.1,38,17,0,24.61
Phenylephrine (orch),7.11e-34,0.1,7,58,0,7.84
heart disease risk (fndg),8.84e-13,11.57,12,22,7,18.55
Psychotherapy (topp),1.18e-07,0.33,19,70,4,24.16
Violence (mobd),2.64e-16,0.46,34,289,5,38.0
ABCB1 gene|ABCB1 (aapp),2.25e-12,0.33,11,109,0,12.11
Pancreas (bpoc),1.54e-45,0.86,290,4198,77,310.03
Seminiferous tubule structure (bpoc),3.53e-11,0.07,1,14,0,1.07
Serum C reactive protein level (lbpr),4.35e-10,11.52,30,29,2,57.03
Endothelin (aapp),2.9e-25,0.3,20,199,3,22.01
Heparin-induced thrombocytopenia (dsyn),1.63e-06,0.9,6,209,2,6.17
Goblet Cells (cell),6.75e-15,0.12,2,35,0,2.11
Microtubule-Associated Proteins (aapp),6.11e-13,0.22,13,61,0,15.77
fludarabine (nnon),6.46e-15,1.99,1,642,0,1.0
Fiber (phsu),3.49e-08,0.9,192,131,7,220.38
Eye Movements (ortf),2.6e-09,0.08,2,11,0,2.36
Fracture-dislocation (inpo),1.14e-06,0.16,1,19,1,1.05
ileum (bpoc),1.33e-67,0.23,27,361,3,29.02
Phosphatidylinositols (bacs),2.62e-38,0.03,1,21,0,1.05
Premedication (topp),3.04e-07,0.34,14,70,1,16.8
Patient identification (hlca),5.73e-17,5.24,41,234,7,48.18
Connective Tissue (tisu),4.47e-18,0.31,18,149,0,20.17
Institutes (orgt),1.4e-26,3.32,121,629,11,144.28
infliximab|GIF (aapp),6.55e-38,742.09,16,41,3,22.24
Misalignment (anab),1.03e-08,1.78,71,43,0,69.04
Moyamoya Disease (dsyn),4.15e-14,0.26,2,85,0,2.05
lymph nodes (bpoc),5.72e-30,0.71,44,2235,12,44.87
Food (food),4.27e-06,2.42,359,277,13,490.73
Hydroxymethylglutaryl-CoA Reductase Inhibitors (phsu),1.63e-09,2.35,248,2735,54,270.49
VENTRICULAR MORPHOLOGY (fndg),1.49e-06,5.34,10,23,2,14.35
Ovarian Carcinoma (neop),2.59e-39,1.15,131,3212,43,136.34
Genetic Structures (gngm),4.36e-06,0.26,2,34,0,2.12
Acetic Acid (phsu),1.15e-23,0.2,6,99,0,6.36
Age (orga),0.0,6.84,3407,4360,316,6069.3
Metallothionein (aapp),1.27e-38,0.14,8,107,0,8.6
Polyamines (orch),9.69e-43,0.05,1,38,0,1.03
DNA Adducts (bacs),1.63e-07,0.21,7,31,0,8.58
Monkeys (mamm),4e-109,0.08,21,138,1,24.2
Morphine (phsu),5.77e-100,0.13,38,228,0,44.33
Antiepileptic Agents (phsu),9.03e-07,0.59,47,263,1,55.4
Radiation (npop),2.7e-92,0.16,12,305,0,12.47
Glycolysis (moft),4.69e-08,0.27,4,48,1,4.33
