name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
"Sequence Analysis, DNA",4.63e-07,0.27,5,44,0,5.57,4.0
Liver Cirrhosis/virology,1.43e-08,4.88,22,113,2,26.28,3.0
Autoantibodies/analysis,8.17e-09,0.19,15,21,1,25.71,7.0
Obesity/surgery,2.59e-57,20.66,469,130,107,166.03,4.0
Hypoglycemia/prevention & control,5.18e-13,4.4,29,66,2,41.74,4.0
Sodium Chloride/pharmacology,4.67e-09,0.18,6,29,1,7.24,3.0
Scoliosis/physiopathology,1.17e-06,1.94,22,2,0,2.18,5.0
Enzymes/metabolism,2.08e-12,0.06,2,9,0,2.44,2.0
Enzyme-Linked Immunosorbent Assay,2.88e-07,0.12,3,13,0,3.69,5.0
Prostaglandins/biosynthesis,3.93e-08,0.06,1,7,0,1.14,5.0
Ovary,3.7e-13,0.04,2,6,0,2.67,4.0
"Quality Assurance, Health Care",2.12e-10,0.81,14,471,5,14.42,2.0
Dendritic Cells/immunology,4.79e-07,0.38,2,288,0,2.01,3.0
Blood Platelets/physiology,5.03e-07,0.34,16,72,1,19.56,3.0
Tumor Necrosis Factor-alpha/pharmacology,1.16e-14,0.12,7,25,0,8.96,4.0
Heart Ventricles/physiopathology,3.61e-10,2.06,67,201,9,89.33,3.0
"Heart Defects, Congenital/diagnosis",8.45e-08,0.98,2,193,0,2.02,3.0
Wasting Syndrome/epidemiology,4.08e-06,15.14,3,8,3,4.12,3.0
Hypertension/complications,5.93e-73,4.79,493,637,70,874.55,3.0
Surgical Wound Dehiscence/epidemiology,7.97e-07,7.66,8,22,2,10.91,4.0
Skin/drug effects,4.81e-18,0.1,2,35,0,2.11,2.0
Length of Stay/statistics & numerical data,1.19e-15,6.02,41,696,26,43.42,4.0
Cardiovascular Diseases/psychology,7.48e-19,6.16,31,96,6,41.01,1.0
Metformin/therapeutic use,7.61e-49,14.18,426,221,19,335.65,5.0
Quantitative Trait Loci,6.58e-10,1.48,67,50,2,87.31,6.0
"Intestine, Small/metabolism",1.17e-11,0.12,2,25,0,2.16,4.0
Oligopeptides/pharmacology,1.13e-10,0.26,8,66,0,8.97,3.0
Plasma,9.95e-08,0.35,4,119,0,4.13,3.0
"Carcinoma, Non-Small-Cell Lung/genetics",2.18e-07,3.23,2,686,1,2.01,5.0
Uterus/metabolism,6.7e-09,0.11,4,13,0,5.23,4.0
Hormone Replacement Therapy/adverse effects,1.24e-10,5.68,41,57,2,70.49,3.0
"Hernia, Hiatal/surgery",7.48e-11,3.9,22,81,9,27.98,5.0
Breeding,9.54e-10,0.29,3,66,1,3.14,3.0
"Renal Insufficiency, Chronic/metabolism",4.07e-07,5.54,13,64,3,15.64,5.0
Glaucoma/surgery,2.22e-12,0.03,1,4,0,1.25,3.0
Pneumonectomy,1.77e-06,1.57,9,542,7,9.15,4.0
Occupational Diseases/chemically induced,8.32e-17,0.27,4,104,0,4.15,1.0
Glomerular Filtration Rate,3.1e-78,4.78,161,367,24,231.63,3.0
Obesity/genetics,1.08e-13,24.56,1559,25,32,25.4,4.0
Insulin-Secreting Cells/metabolism,2.68e-14,2.17,66,13,0,15.56,3.0
Cell Differentiation/drug effects,1.43e-19,0.07,1,21,1,1.05,3.0
Lung Neoplasms/radiography,4.59e-06,1.63,11,456,0,11.27,3.0
Dyslipidemias/complications,5.69e-19,11.03,39,50,3,69.42,4.0
Mothers/statistics & numerical data,3.62e-14,6.44,63,75,5,115.92,3.0
Interprofessional Relations,1.98e-42,0.07,4,53,0,4.3,4.0
Staphylococcus aureus/isolation & purification,8.3e-08,1.08,2,211,0,2.02,6.0
Energy Metabolism/physiology,7.07e-14,4.01,470,138,17,178.52,3.0
Nursing Process,1.17e-07,0.06,2,4,0,3.0,4.0
Comorbidity,5.65e-07,5.89,22,341,8,23.42,4.0
Occupational Medicine,4.23e-29,0.04,4,8,0,6.0,5.0
Hypertension/blood,8.05e-13,4.6,335,70,8,84.63,3.0
Biological Markers/analysis,1.93e-10,2.04,77,271,7,98.88,1.0
Diabetic Nephropathies/therapy,2.36e-08,4.84,13,134,13,14.26,4.0
Pericardium/pathology,1.83e-14,6.53,50,67,3,87.31,3.0
Radiology,1.71e-16,0.04,1,7,1,1.14,3.0
"Diet, Reducing",1.37e-15,12.28,570,20,9,20.7,4.0
Self Efficacy,9.48e-24,2.23,144,38,2,48.03,5.0
Parkinson Disease/drug therapy,8.55e-14,0.2,7,60,0,7.82,3.0
Ethinyl Estradiol/administration & dosage,2.18e-06,2.38,23,2,0,2.17,6.0
Siblings,9.38e-11,2.56,51,150,1,68.34,2.0
Circadian Rhythm/physiology,4.18e-26,1.68,221,146,10,242.45,4.0
Polysaccharides/pharmacology,3.91e-07,0.25,3,39,0,3.23,2.0
"Antineoplastic Agents, Phytogenic/pharmacology",5.77e-18,0.26,4,105,0,4.15,5.0
Titanium/chemistry,5.44e-23,0.04,2,11,0,2.36,4.0
Blood Pressure/drug effects,2.08e-15,1.24,246,399,13,397.67,4.0
Obesity/complications,1.71e-289,33.14,4009,427,785,472.48,4.0
Liver Neoplasms/metabolism,2.77e-08,1.41,7,421,1,7.12,3.0
Feeding Behavior/physiology,1.17e-14,1.82,150,97,1,159.73,3.0
Dietary Fats/administration & dosage,6.02e-10,4.68,404,105,7,132.29,3.0
Estradiol/blood,8.75e-16,3.65,203,38,6,45.11,5.0
Ethanol/pharmacology,9.53e-32,0.14,13,81,0,15.09,3.0
Glycolysis,3.1e-08,0.12,1,16,1,1.06,4.0
Membrane Proteins/genetics,3.34e-06,1.08,161,295,3,248.87,3.0
Follicle Stimulating Hormone/blood,1.42e-10,1.32,66,4,0,4.24,6.0
Technetium,3.44e-11,0.07,4,7,0,6.29,4.0
Coronary Disease/psychology,3.73e-06,2.65,20,100,10,24.0,4.0
African Continental Ancestry Group/ethnology,2.06e-07,5.8,10,23,4,14.35,4.0
Heparin/pharmacology,1.11e-12,0.09,2,21,0,2.19,4.0
Vitamin D Deficiency/blood,1.51e-06,15.01,133,44,4,58.56,6.0
Fatty Acid-Binding Proteins/blood,3.78e-15,16.84,63,42,3,70.0,4.0
Students/statistics & numerical data,8.7e-11,5.48,249,38,1,43.8,2.0
Lipolysis,5.34e-06,1.91,23,5,1,6.09,4.0
Cholesterol,1.65e-08,0.06,2,5,0,2.8,4.0
Heart Diseases/epidemiology,4.35e-17,6.0,36,195,6,42.65,2.0
Arabs/statistics & numerical data,7.35e-14,7.95,20,39,1,30.26,4.0
"Muscle, Smooth, Vascular/cytology",5.77e-08,0.16,1,26,0,1.04,4.0
"Anesthesia, Dental",3.04e-07,0.04,1,3,0,1.33,2.0
"Pregnancy Complications, Cardiovascular/epidemiology",7.51e-11,6.84,18,91,4,21.56,2.0
Overweight/complications,1.11e-15,54.41,495,25,46,26.26,4.0
"Ventricular Dysfunction, Left/physiopathology",6.65e-37,4.45,93,346,13,118.0,4.0
Phospholipids/metabolism,3.13e-15,0.09,7,12,0,11.08,3.0
Stroke/etiology,5.18e-34,4.91,95,819,34,106.02,4.0
"Embryo, Mammalian",1.54e-08,0.07,2,8,0,2.5,2.0
Gases,4.72e-06,0.25,2,34,0,2.12,2.0
"Membranes, Artificial",3.46e-38,0.14,4,109,1,4.15,2.0
Carbon,2.04e-08,0.11,1,17,0,1.06,3.0
Liver/ultrastructure,3.21e-06,0.06,2,2,0,4.0,2.0
"Hernia, Umbilical/surgery",1.59e-08,3.92,21,53,1,29.32,3.0
Birds,4.11e-12,0.23,2,60,0,2.07,5.0
Cardiovascular Diseases/diet therapy,2.27e-07,8.41,22,26,0,40.62,1.0
Rectal Diseases/surgery,9.18e-12,3.58,30,134,11,36.72,4.0
Glycoproteins/analysis,1.04e-09,0.2,2,40,0,2.1,3.0
Mouth/microbiology,9.21e-07,0.11,1,14,0,1.07,2.0
Myocardial Ischemia/epidemiology,1.76e-44,9.56,51,179,17,65.53,3.0
"Abnormalities, Drug-Induced",2e-08,0.17,1,30,0,1.03,3.0
Protease Inhibitors/pharmacology,1.14e-06,0.27,4,42,0,4.38,5.0
Mental Disorders/diagnosis,2.81e-11,0.22,20,48,0,28.33,1.0
Insecticides/toxicity,1e-10,1.43,5,477,1,5.05,4.0
Lead/blood,3.68e-08,1.48,47,27,2,42.51,4.0
"Labor, Obstetric",1.24e-18,0.2,19,67,3,24.39,6.0
Vascular Diseases,7.14e-22,0.01,1,1,0,2.0,2.0
Staining and Labeling/methods,4.35e-12,0.06,1,13,0,1.08,5.0
Quinolines/pharmacology,5.81e-09,0.18,2,34,0,2.12,3.0
Prostatic Neoplasms/blood,9.4e-38,4.19,95,329,16,122.43,4.0
Hypertension/metabolism,3.93e-16,1.4,108,50,3,73.15,3.0
Erectile Dysfunction/etiology,1.4e-09,2.19,55,15,1,19.09,3.0
Neoplasms/radiotherapy,2.99e-21,0.29,4,160,2,4.1,1.0
T-Lymphocytes/immunology,3.75e-115,0.22,16,546,0,16.47,6.0
Carcinoma/pathology,1.13e-13,1.34,9,667,4,9.12,4.0
Mitral Valve Insufficiency/surgery,2.5e-07,3.21,3,829,3,3.01,4.0
Soil Pollutants/analysis,6.57e-24,0.08,1,37,0,1.03,4.0
Diabetic Angiopathies/etiology,4.38e-15,4.72,32,70,5,46.63,3.0
Colorectal Neoplasms/blood,1.71e-29,6.43,58,203,3,74.57,5.0
Drug Delivery Systems,6.34e-17,0.31,4,198,0,4.08,3.0
Cardiovascular Diseases/physiopathology,2.35e-134,7.33,186,452,43,262.54,1.0
Renal Insufficiency/therapy,1.97e-09,5.92,15,155,11,16.45,4.0
HIV-1/immunology,6.36e-17,0.21,6,78,0,6.46,7.0
HIV-1/drug effects,7.29e-07,0.41,4,138,4,4.12,7.0
Lower Extremity/physiology,1.78e-07,2.48,30,3,0,3.3,3.0
Women,6.64e-07,0.29,8,49,1,9.31,2.0
Tissue Engineering/methods,1.76e-27,0.13,1,70,0,1.01,5.0
Hypercholesterolemia/epidemiology,3.17e-06,13.82,79,30,7,41.39,6.0
Metabolic Syndrome X/etiology,3.3e-10,20.77,284,57,20,68.44,3.0
Lower Extremity/blood supply,1.2e-07,4.9,27,447,15,28.63,3.0
Insulin-Secreting Cells/physiology,1.63e-08,5.56,92,6,0,6.39,3.0
Blood-Brain Barrier,1.43e-08,0.08,1,11,0,1.09,2.0
Reading,1.19e-19,0.09,8,14,1,12.57,5.0
Saliva/chemistry,3.1e-14,1.5,78,19,0,23.63,3.0
Blood Preservation,2.14e-08,0.18,3,31,0,3.29,4.0
Macrophages/physiology,1.18e-10,0.21,5,48,0,5.52,3.0
Alcoholism,2.49e-09,0.06,1,9,0,1.11,4.0
Living Donors/statistics & numerical data,4.57e-10,9.26,14,117,5,15.68,3.0
Antidepressive Agents/pharmacology,7.35e-08,0.15,6,17,0,8.12,6.0
Osteoarthritis/radiography,1.49e-06,2.96,29,2,0,2.14,3.0
"Carcinoma, Hepatocellular/therapy",1.42e-07,4.06,4,1089,2,4.01,4.0
Estrogen Replacement Therapy/adverse effects,6.06e-07,3.68,65,91,3,111.43,4.0
Patients,8.2e-09,0.16,6,23,0,7.57,2.0
Heart/radionuclide imaging,1.43e-06,0.32,13,57,0,15.96,2.0
"Receptors, Immunologic/blood",1.61e-11,8.75,34,40,2,62.9,5.0
"Obesity, Morbid/complications",1.26e-23,31.46,430,46,67,50.92,5.0
Drinking,3.02e-08,1.61,46,25,0,38.59,5.0
Heart Failure/etiology,5.08e-11,3.42,52,541,24,57.0,3.0
Corneal Transplantation,4.4e-10,0.05,1,7,0,1.14,4.0
Posture/physiology,1.45e-15,1.2,129,29,2,35.52,3.0
Memory,2.52e-21,0.09,13,11,1,20.31,4.0
Titanium,1.15e-06,0.18,4,22,0,4.73,4.0
Dental Caries/prevention & control,3.37e-15,0.04,3,2,0,3.33,4.0
Spinal Fusion/adverse effects,3.55e-07,3.88,56,79,4,95.7,4.0
Embryonic Development,2.33e-06,0.23,2,31,0,2.13,6.0
Lipoprotein Lipase/blood,1.6e-06,2.63,23,1,0,1.04,6.0
Basal Metabolism,3.03e-14,4.53,115,4,4,4.14,4.0
Fasting,4.95e-10,1.23,80,28,1,37.8,4.0
Clomiphene/therapeutic use,1.19e-08,2.72,37,3,0,3.24,8.0
Potassium Channels/physiology,1.82e-13,0.05,1,12,0,1.08,6.0
"Efficiency, Organizational",4.59e-13,0.23,1,65,0,1.02,3.0
Streptococcal Infections/microbiology,8.51e-07,1.0,1,156,0,1.01,4.0
Bacteria/isolation & purification,3.09e-18,0.37,14,190,1,15.03,1.0
Coronary Artery Disease/radiography,2.08e-48,5.35,149,252,11,237.1,5.0
"Models, Genetic",1.12e-11,0.35,52,141,2,71.18,4.0
Nitrogen,9.12e-10,0.03,1,3,0,1.33,3.0
General Surgery/history,2.42e-09,0.11,1,20,0,1.05,4.0
Mutagens/toxicity,5.52e-15,0.12,2,36,0,2.11,4.0
Survivors,1.04e-47,6.72,90,653,30,102.4,2.0
Tobacco/genetics,1.08e-07,0.16,1,25,0,1.04,8.0
Air Pollutants/analysis,5.07e-16,0.38,12,225,2,12.64,4.0
Nerve Tissue Proteins/genetics,1.53e-06,0.44,29,127,0,35.62,3.0
Fossils,3.04e-11,0.13,5,24,0,6.04,5.0
Peritoneal Dialysis,1.31e-32,3.19,93,299,28,121.93,4.0
Hyperlipidemias/drug therapy,1.94e-13,2.47,65,197,5,86.45,5.0
"Pregnancy, Animal",5.63e-19,0.1,2,34,0,2.12,6.0
Protein-Energy Malnutrition/epidemiology,6.02e-08,10.37,26,20,11,35.38,6.0
Biliopancreatic Diversion/adverse effects,3.74e-06,15.22,12,9,6,15.75,3.0
"Education, Medical",5.04e-44,0.05,6,29,0,7.24,3.0
Diabetic Nephropathies/epidemiology,2.1e-20,7.7,45,68,7,74.78,4.0
Cardiovascular Physiological Phenomena,5.15e-17,1.42,104,48,12,70.15,2.0
Proteins/genetics,2.09e-48,1.89,324,135,14,191.25,2.0
Truth Disclosure,2.42e-09,0.28,7,63,0,7.78,5.0
Bulimia/psychology,4.01e-10,7.03,101,1,1,1.01,5.0
Dietary Carbohydrates/metabolism,1.4e-09,2.89,72,13,3,15.35,2.0
Diabetes Complications/physiopathology,2.92e-12,5.87,20,50,3,28.0,3.0
Women's Rights,1.13e-07,0.26,1,44,0,1.02,4.0
Athletic Performance,1.34e-10,3.03,45,2,0,2.09,5.0
Osteoporosis/complications,1.33e-12,4.02,82,123,10,136.67,4.0
Nitric Oxide/biosynthesis,5.51e-08,0.27,7,53,0,7.92,3.0
Corpus Striatum/metabolism,5.38e-11,0.1,7,8,0,13.12,8.0
"Kidney Failure, Chronic/etiology",2.44e-07,3.45,24,233,15,26.47,6.0
"Kidney Failure, Chronic/surgery",1.46e-22,5.19,53,573,31,57.9,6.0
Cardiovascular Diseases/chemically induced,2.46e-07,3.86,35,293,4,39.18,1.0
Adipose Tissue/metabolism,7.84e-56,5.15,753,65,15,70.61,3.0
Coronary Artery Disease/pathology,3.26e-16,3.97,52,107,7,77.27,5.0
Aggression,6.62e-10,0.16,6,27,0,7.33,4.0
Heart Diseases,6.69e-20,0.04,1,7,1,1.14,2.0
Diabetic Angiopathies/epidemiology,2.44e-67,11.59,84,143,20,133.34,3.0
Eating,6.17e-26,2.78,253,65,9,81.7,4.0
Cross Infection/prevention & control,2.37e-22,0.94,4,558,3,4.03,3.0
Psychological Tests,2.41e-19,0.07,9,7,0,12.44,2.0
Awards and Prizes,3.89e-19,0.1,4,24,2,4.67,2.0
Length of Stay,3.29e-15,3.84,63,453,11,71.76,4.0
Protein-Serine-Threonine Kinases/physiology,1.22e-06,0.2,2,27,0,2.15,7.0
"Carcinoma, Squamous Cell/pathology",3.96e-27,1.76,6,1351,4,6.03,5.0
Triiodothyronine/pharmacology,1.53e-07,0.06,1,6,0,1.17,5.0
Carcinogens,1.71e-22,0.06,1,26,0,1.04,4.0
Sports,4.09e-06,0.98,126,121,2,237.2,4.0
Transducers,3.69e-06,0.15,9,6,0,10.0,3.0
Cell Cycle,3.72e-13,0.1,1,24,1,1.04,3.0
Mass Screening/methods,1.53e-65,3.07,284,1099,23,357.39,3.0
Science,1.74e-16,0.04,2,7,0,2.57,2.0
Antipsychotic Agents/adverse effects,1.46e-11,4.51,382,317,26,580.06,6.0
Brain Neoplasms/radiotherapy,2.12e-06,2.58,6,605,0,6.06,4.0
Stomach,1.04e-13,0.11,6,21,0,7.71,4.0
Cardiovascular System,5.81e-24,0.09,8,16,3,12.0,1.0
Piperazines/pharmacology,7.09e-11,0.28,12,78,0,13.85,3.0
Drug Prescriptions,1.27e-15,0.17,1,54,0,1.02,3.0
Patient Education as Topic/methods,1.4e-12,1.32,122,142,8,226.82,4.0
Cerebrovascular Disorders/epidemiology,1.48e-07,3.12,22,93,7,27.2,3.0
Estrogens/pharmacology,6.35e-07,0.25,13,36,0,17.69,6.0
Medicine,1.67e-79,0.04,3,52,0,3.17,2.0
Laparoscopy/statistics & numerical data,5.36e-49,13.35,42,90,16,61.6,4.0
Collagen/metabolism,1.06e-11,0.19,14,40,0,18.9,4.0
Weight-Bearing/physiology,3.01e-08,1.32,48,2,1,2.08,4.0
Brachial Artery/physiopathology,3.9e-20,8.23,80,85,7,155.29,4.0
Obesity/psychology,1.04e-10,25.99,1113,17,18,17.26,4.0
Vitamin E/blood,2.79e-06,1.55,31,13,0,18.45,4.0
Chromosome Aberrations/genetics,1.04e-08,0.07,1,10,0,1.1,3.0
Surgical Wound Infection/etiology,7.5e-18,4.9,90,125,19,154.8,4.0
"Antigens, Viral/immunology",2.81e-09,0.27,1,70,0,1.01,3.0
"Antigens, Bacterial/immunology",4.5e-14,0.28,3,109,0,3.08,3.0
Cardiovascular Diseases/blood,5.07e-287,13.87,311,530,84,493.49,1.0
General Surgery,1.85e-14,0.2,5,61,1,5.41,4.0
"Embolization, Therapeutic",1.5e-13,1.0,3,337,0,3.03,3.0
Hypertension/diagnosis,4.86e-21,4.44,242,275,20,454.96,3.0
Alzheimer Disease/pathology,1.1e-10,0.23,8,52,1,9.23,4.0
Endometrial Neoplasms/epidemiology,1.22e-08,17.74,111,37,7,49.33,6.0
Ubiquitin-Protein Ligases/metabolism,1.45e-07,0.27,1,50,0,1.02,5.0
Heart Ventricles/pathology,1.19e-28,4.0,67,169,11,93.56,3.0
Pre-Eclampsia/epidemiology,1.96e-25,10.72,79,82,5,155.11,4.0
Fundoplication,7.92e-07,3.92,13,38,4,17.45,3.0
Milk/microbiology,3.03e-08,0.11,1,15,1,1.07,3.0
Community Health Nursing,6.33e-14,0.08,2,19,0,2.21,4.0
Salaries and Fringe Benefits,1.54e-06,0.11,6,1,0,1.17,4.0
Iron/metabolism,3.62e-09,0.38,50,136,1,68.38,4.0
Climate Change,6.02e-07,0.91,4,186,0,4.09,5.0
Epidemiology,3.88e-15,0.1,1,26,1,1.04,4.0
Adenocarcinoma/epidemiology,3.13e-40,5.4,77,195,9,107.41,5.0
Iodine Radioisotopes,1.84e-17,0.08,3,23,0,3.39,4.0
"Indians, South American/statistics & numerical data",4.29e-08,8.64,10,21,1,14.76,5.0
Pregnancy Complications/etiology,3.68e-12,3.5,83,139,6,132.56,2.0
Glutathione Transferase/metabolism,2.34e-06,0.22,2,30,0,2.13,5.0
Mutation,3.8e-34,0.5,127,1638,4,136.85,3.0
Problem Solving,4.19e-11,0.11,8,11,0,13.82,4.0
Diabetic Angiopathies/complications,1.82e-09,4.37,19,46,3,26.85,3.0
Microspheres,1.38e-11,0.19,3,45,0,3.2,2.0
Terminology as Topic,1.41e-37,0.2,21,158,0,23.79,5.0
Duodenal Ulcer/drug therapy,2.38e-06,0.09,1,9,0,1.11,5.0
Adolescent Behavior,1.59e-13,2.41,218,109,3,163.5,3.0
Elective Surgical Procedures/methods,2.6e-08,7.94,10,99,7,11.01,2.0
Diabetes Mellitus/surgery,3.98e-12,4.94,20,54,6,27.41,2.0
Stomach Neoplasms/pathology,6.04e-11,2.38,18,1428,7,18.23,4.0
Emigrants and Immigrants/statistics & numerical data,4.75e-21,4.97,57,107,4,87.36,2.0
Nitrogen/metabolism,1.92e-20,0.1,7,29,0,8.69,3.0
Emigration and Immigration/statistics & numerical data,8.7e-10,3.17,31,83,2,42.58,5.0
Mass Spectrometry/methods,8.7e-25,0.11,10,39,0,12.56,3.0
"Hyperthermia, Induced",4.38e-11,1.1,1,349,4,1.0,2.0
Graft Rejection,2.29e-07,0.34,5,65,3,5.38,5.0
Anti-Bacterial Agents/pharmacology,5e-98,0.25,3,751,0,3.01,5.0
Trans-Activators/physiology,8.26e-08,0.17,2,27,0,2.15,4.0
CD40 Ligand/blood,1.68e-06,6.14,17,25,4,28.56,5.0
Epitopes/immunology,1.11e-14,0.15,1,44,0,1.02,3.0
Hemorrhage/therapy,6.01e-07,2.2,1,352,0,1.0,3.0
Laparoscopy/adverse effects,8.43e-46,5.81,175,242,44,301.55,4.0
Pre-Eclampsia/physiopathology,6.75e-12,3.42,54,108,3,81.0,4.0
"Immunity, Cellular",5.92e-23,0.15,3,71,0,3.13,4.0
Life Style,1.27e-56,11.66,1744,586,146,782.9,3.0
Electrodes,2.33e-12,0.09,4,13,0,5.23,3.0
Vascular Endothelial Growth Factor A/blood,9.89e-14,4.34,35,132,4,44.28,5.0
Pancreatic Neoplasms/etiology,2.98e-06,5.23,30,37,9,54.32,3.0
Radiotherapy Dosage,2.12e-12,0.2,1,51,0,1.02,3.0
Laparotomy/methods,5.95e-28,6.73,44,246,17,51.87,2.0
Tunica Intima/ultrasonography,2.41e-08,10.07,64,39,8,62.77,3.0
Parents/psychology,2.83e-11,1.22,147,182,0,265.73,2.0
"Kidney Failure, Chronic/blood",1.58e-60,4.36,132,454,36,170.38,6.0
Carrier Proteins,1.66e-11,0.09,2,17,0,2.24,3.0
Kidney Calculi/therapy,2.38e-11,1.62,51,6,1,6.71,5.0
Women's Health,1.88e-74,3.29,298,678,40,428.98,3.0
Transplantation Immunology,1.15e-19,0.21,1,85,0,1.01,3.0
Recovery of Function,7.83e-12,2.54,62,232,5,78.57,2.0
Anti-Infective Agents/pharmacology,4.56e-24,0.23,2,118,0,2.03,4.0
Live Birth/epidemiology,8.81e-10,9.01,16,26,0,25.85,7.0
"Quantitative Trait, Heritable",6.17e-08,2.09,71,33,3,48.34,3.0
Transcriptional Activation,1.88e-15,0.08,1,24,0,1.04,4.0
Coronary Angiography/methods,1.01e-23,3.75,164,261,8,267.05,5.0
Spinal Fractures/epidemiology,2.66e-10,8.19,43,45,0,84.09,3.0
Symporters,3.36e-06,0.04,1,1,0,2.0,6.0
Transcription Factors/metabolism,5.75e-67,0.23,22,342,0,23.42,3.0
Population Surveillance,6.54e-20,3.02,131,918,18,149.69,4.0
Child Development,4.93e-50,1.73,322,158,4,235.53,3.0
Physical Exertion,8.95e-14,0.26,70,47,4,78.56,4.0
Dogs,4.58e-07,0.29,4,49,0,4.33,8.0
"Medical Records Systems, Computerized",1.25e-09,0.22,6,45,0,6.8,5.0
Behavior,9.44e-08,0.22,20,24,0,36.67,2.0
"Influenza, Human/prevention & control",5.64e-12,1.48,12,700,2,12.21,3.0
Fever,8.66e-07,0.12,1,15,0,1.07,4.0
Carcinoma,2.64e-40,0.01,1,1,0,2.0,4.0
Intracranial Aneurysm/therapy,2.4e-06,2.75,1,410,0,1.0,4.0
"Anti-Inflammatory Agents, Non-Steroidal/pharmacology",6.7e-11,0.34,11,106,2,12.14,5.0
Public Opinion,4.79e-16,0.18,4,60,0,4.27,4.0
Cornea/pathology,2.92e-06,0.12,5,5,0,10.0,4.0
"Arthritis, Rheumatoid/epidemiology",4.62e-15,4.05,36,84,5,51.43,3.0
Visual Fields/physiology,2.87e-07,0.07,3,3,0,6.0,2.0
"Stress Disorders, Post-Traumatic/psychology",2.4e-06,0.29,9,46,1,10.76,4.0
Accreditation,2.74e-08,0.13,1,21,0,1.05,4.0
Testosterone/analogs & derivatives,1.1e-07,2.13,33,6,1,7.09,6.0
Coronary Disease/etiology,9.82e-15,3.88,230,267,35,428.13,4.0
Parenting,6e-16,2.56,89,15,0,17.53,5.0
"Neoplasms, Multiple Primary/pathology",1.66e-10,0.86,2,258,3,2.02,2.0
Membrane Proteins/physiology,8.95e-16,0.16,3,52,0,3.17,3.0
Brain Neoplasms/metabolism,1.01e-09,1.28,2,306,0,2.01,4.0
Bone Neoplasms/surgery,7.35e-10,1.35,3,352,0,3.03,3.0
Pre-Eclampsia/genetics,1.28e-11,4.16,26,65,3,36.4,4.0
Plants/chemistry,7.69e-08,0.13,1,20,0,1.05,2.0
Spinal Cord/cytology,3.03e-07,0.04,1,2,0,1.5,3.0
Athletic Performance/physiology,1.87e-26,4.53,160,3,0,3.06,5.0
Gypsies/statistics & numerical data,9.32e-07,11.26,6,12,2,9.0,1.0
Specimen Handling/methods,6.7e-09,0.17,4,28,0,4.57,3.0
Anticoagulants/therapeutic use,4.43e-06,2.16,43,1498,8,44.23,5.0
Tobacco,2.81e-10,0.18,2,38,1,2.11,8.0
Peptides/pharmacology,6.81e-14,0.25,20,81,0,24.94,2.0
Immunosuppression,7.78e-08,0.33,3,92,0,3.1,3.0
Tibia,1.22e-06,0.11,1,13,0,1.08,6.0
"Hypertension, Pregnancy-Induced/epidemiology",5.48e-13,17.35,43,32,2,55.81,3.0
Brain/radionuclide imaging,3.01e-14,0.05,1,13,0,1.08,3.0
Permeability,4.33e-07,0.05,1,4,0,1.25,3.0
Developing Countries/statistics & numerical data,2.91e-12,7.12,27,273,7,29.67,4.0
Physical Exertion/physiology,7.67e-35,1.78,156,42,1,53.31,4.0
Gamma Rays,1.36e-10,0.25,2,58,0,2.07,4.0
Myocardial Infarction/diagnosis,4.24e-07,1.91,22,1087,13,22.45,4.0
Hippocampus/pathology,2.09e-06,0.34,9,61,0,10.33,5.0
Melanoma/diagnosis,3.04e-12,1.46,1,396,0,1.0,4.0
Memory/drug effects,9.39e-08,0.16,8,17,0,11.76,4.0
Breast Neoplasms/ethnology,5.46e-39,8.72,61,298,10,73.49,3.0
Photons,3.43e-06,0.06,1,4,0,1.25,3.0
"Infant, Newborn",5.65e-14,0.22,15,65,1,18.46,4.0
Eye Movements,4.67e-20,0.02,2,1,0,1.5,3.0
Lectins/metabolism,2.26e-07,0.17,2,25,0,2.16,3.0
Amygdala/physiology,1.26e-11,0.02,1,2,0,1.5,5.0
Fatty Acids,1.23e-09,0.04,1,5,0,1.2,2.0
Bone Remodeling/physiology,8.84e-11,2.17,53,12,0,14.72,4.0
Cold Temperature,1.01e-17,0.3,30,145,0,36.21,4.0
Respiratory Physiological Phenomena,1.92e-07,1.25,53,26,9,38.75,2.0
Laboratories/standards,8.65e-07,0.1,2,10,0,2.4,3.0
"Transcription, Genetic",1.2e-73,0.09,14,106,1,15.85,4.0
Intellectual Disability,6.99e-16,0.09,5,20,0,6.25,3.0
T-Lymphocytes/cytology,2.86e-09,0.2,1,37,1,1.03,6.0
"Fractures, Bone/prevention & control",2.77e-08,2.79,30,88,3,40.23,2.0
"Vocalization, Animal/physiology",1.27e-06,0.05,1,3,0,1.33,5.0
Jews/statistics & numerical data,1.1e-07,7.08,11,27,1,15.48,4.0
Liver Neoplasms/secondary,4.37e-11,3.54,8,1913,11,8.03,3.0
Durapatite/chemistry,2.39e-06,0.03,1,1,0,2.0,5.0
Malnutrition/blood,7.86e-12,22.49,24,20,3,36.67,3.0
Polymers,4.75e-11,0.21,2,48,2,2.08,2.0
Cerebral Cortex/metabolism,4.55e-19,0.11,9,27,0,12.0,7.0
Eating/physiology,1.01e-22,3.42,195,26,5,29.47,4.0
Fetus/drug effects,2.48e-07,0.29,5,51,0,5.49,2.0
Liver Neoplasms/drug therapy,4.52e-11,2.89,3,1145,6,3.01,3.0
Apoptosis/physiology,1.91e-35,0.27,13,231,1,13.73,4.0
